Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
WBTC (CTC) MADHYAMGRAM - DIGHA via Belghoria - 130|16:00,Non AC Seater (2+3),16:00,21:05,05h 05m,INR 161,40 Seats available,"1.7
28",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Arunita Paribahan,A/C Seater (2+3),23:35,05:00,05h 25m,INR 420,21 Seats available,"5.0
2",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Aradhana Bus Service,Non AC Seater (2+3),16:50,23:30,06h 40m,INR 350,54 Seats available,"1.0
2",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:55,05h 20m,450,14 Seats available,"1.1
11",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Satya Paribahan,A/C Seater (2+3),23:00,05:10,06h 10m,INR 280,33 Seats available,"2.6
32",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,05:00,05h 25m,INR 420,23 Seats available,"2.4
16",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,06h 20m,INR 650,10 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
WBTC (CTC) KARUNAMOYEE - DURGAPUR - ASANSOL (AC Volvo) Banglashree Express - 135|16:00,Volvo AC Seater (2+2),16:00,19:15,03h 15m,INR 350,34 Seats available,"2.1
5",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line (Karunamoyee),Volvo A/C Seater (2+2),15:00,18:50,03h 50m,INR 486,26 Seats available,"4.4
30",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline (Karunamoyee),Volvo A/C Seater (2+2),15:30,19:30,04h 00m,INR 486,22 Seats available,"4.1
206",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),16:30,20:25,03h 55m,INR 486,26 Seats available,"4.7
144",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:30,21:20,03h 50m,INR 486,20 Seats available,"3.9
217",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line,Volvo A/C Seater (2+2),18:30,22:50,04h 20m,INR 486,30 Seats available,"4.4
282",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Sneha Gold Bus Service,A/C Seater (2+3),16:30,21:30,05h 00m,INR 300,16 Seats available,"4.4
18",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Sree Jagannath Travels,A/C Seater Push Back (2+3),15:00,20:00,05h 00m,INR 449,30 Seats available,"4.2
18",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,INR 420,18 Seats available,"3.6
29",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,INR 420,26 Seats available,"3.2
32",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Satya Paribahan,A/C Seater (2+3),23:00,03:45,04h 45m,INR 280,33 Seats available,"2.9
30",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Snemita Paribahan(SHINJINI),A/C Seater (2+3),16:00,20:30,04h 30m,INR 420,30 Seats available,"2.3
23",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:00,04:20,05h 20m,INR 370,25 Seats available,"2.2
9",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Parameswar Travels,A/C Seater Push Back (2+3),18:10,23:15,05h 05m,285,24 Seats available,"2.2
13",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Parameswar Travels,A/C Seater Push Back (2+3),21:00,03:00,06h 00m,285,12 Seats available,"1.9
9",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Basu Travels,A/C Seater Push Back (2+3),17:30,22:30,05h 00m,INR 419,30 Seats available,"2.3
8",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Subhadip Travels(Jagannath),A/C Executive (2+3),14:55,19:40,04h 45m,INR 250,31 Seats available,New,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,03:45,04h 10m,INR 420,22 Seats available,"2.0
15",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:00,04h 25m,450,11 Seats available,"2.0
14",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Snemita Parisheba(SNEHA GOLD),AC Seater (2+3),16:40,21:10,04h 30m,INR 430,46 Seats available,"3.3
41",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Bengal Surface Transport,A/C Seater Push Back (2+3),17:30,22:30,05h 00m,INR 419,36 Seats available,"3.3
3",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Calcutta
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,INR 675,19 Seats available,"4.5
348",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,INR 549,13 Seats available,"4.4
319",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Mayuri Express,AC Seater (2+2),23:15,04:30,05h 15m,540,9 Seats available,"4.3
185",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,07h 30m,INR 600,9 Seats available,"4.2
198",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Parameswar Travels,A/C Seater Push Back (2+3),23:45,05:00,05h 15m,400,35 Seats available,"3.3
119",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,INR 615,7 Seats available,"4.0
98",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Purusottam Travels,A/C Seater (2+3),15:15,20:05,04h 50m,INR 420,14 Seats available,"4.3
20",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Sagufta Travels (Atithi),A/C Seater Push Back (2+3),23:59,05:00,05h 01m,INR 465,12 Seats available,"3.6
32",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater Push Back (2+3),23:30,04:30,05h 00m,INR 419,16 Seats available,"4.1
22",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
Basu Travels,A/C Seater / Sleeper (2+2),23:59,05:00,05h 01m,INR 599,26 Seats available,"3.2
40",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
SBSTC-KOLKATA - SURI - 15:30 - (Suri Depot) - 655,Non AC Seater (2+3),15:30,21:00,05h 30m,INR 190,28 Seats available,"3.5
17",https://www.redbus.in/bus-tickets/kolkata-to-suri,Kolkata to Suri
SBSTC-KOLKATA - SURI - 16: 30 - (Suri Depot) - 653,Non AC Seater (2+3),16:30,22:00,05h 30m,INR 190,52 Seats available,"4.2
8",https://www.redbus.in/bus-tickets/kolkata-to-suri,Kolkata to Suri
SBSTC-KOLKATA - SURI - 18:00 - (Suri Depot) - 1205,Non AC Seater (2+3),18:00,23:00,05h 00m,INR 190,52 Seats available,"2.7
18",https://www.redbus.in/bus-tickets/kolkata-to-suri,Kolkata to Suri
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,23:15,03h 45m,555,8 Seats available,"3.5
170",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Maharani Travels,A/C Seater / Sleeper (2+1),21:05,01:30,04h 25m,760,10 Seats available,2.6,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SBSTC-HALDIA - KOLKATA - 16:05 (HALDIA DEPOT) - 1328,Non AC Seater (2+3),16:05,19:05,03h 00m,INR 110,42 Seats available,"3.5
207",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
SBSTC-HALDIA - KOLKATA - ALL STOP - 17:30 (HLD DEPOT) - 630,Non AC Seater (2+3),17:30,20:30,03h 00m,INR 110,40 Seats available,"3.4
206",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
WBTC (CTC) KOLKATA - ASANSOL - PURULIA (AC VOLVO) Banglashree Express - 133|18:15,Volvo AC Seater (2+2),18:15,21:10,02h 55m,INR 240,1 Seat available,"3.1
20",https://www.redbus.in/bus-tickets/durgapur-to-purulia,Durgapur (West Bengal) to Purulia
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,00:15,04h 45m,INR 700,1 Seat available,"3.7
61",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Beauty Travels,NON A/C Seater / Sleeper (2+2),20:20,00:30,04h 10m,INR 600,8 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Maharani Travels,A/C Seater / Sleeper (2+1),21:05,02:00,04h 55m,760,10 Seats available,2.6,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
Satadal Travels,A/C Seater (2+2),15:35,18:15,02h 40m,167,13 Seats available,"3.6
91",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
WBTC (CTC) Habra-Midnapur - 194|15:40,Non AC Seater (2+3),15:40,18:40,03h 00m,INR 111,37 Seats available,"3.6
23",https://www.redbus.in/bus-tickets/midnapore-to-kolkata-airport,Midnapore to Kolkata Airport
WBTC (CTC) Barasat-Midnapur - 208|17:00,Non AC Seater (2+3),17:00,19:00,02h 00m,INR 111,43 Seats available,3.7,https://www.redbus.in/bus-tickets/midnapore-to-kolkata-airport,Midnapore to Kolkata Airport
